gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2021-03-14,1,0.592158942128,0.157778184547,0.047468928723,0.011295908943,0.001807371075,0.000612162974,0.000164719048,0,1,2724,Wichita State,78.96,West,11b,19
mens,2021-03-14,0,1.0,0.254421361142,0.074392606337,0.009923876421,0.002838505743,0.000653103309,0.000142078988,1,1,2737,Winthrop,78.62,South,12,106
mens,2021-03-14,0,1.0,0.201150137512,0.070472778901,0.009330180153,0.002652827764,0.000606836556,0.000131294014,1,1,249,North Texas,78.58,South,13,110
mens,2021-03-14,0,1.0,0.174990708621,0.047493999719,0.0102178153,0.002693586067,0.000422672434,9.4337228e-05,1,1,2430,North Carolina-Greensboro,77.95,East,13,46
mens,2021-03-14,0,1.0,0.186157464676,0.046098769364,0.004732728459,0.001201825383,0.000365107293,8.8280422e-05,1,1,2540,UC-Santa Barbara,78.59,West,12,10
mens,2021-03-14,0,1.0,0.159199400699,0.043406604931,0.008771873549,0.002034633571,0.000295012135,6.1371031e-05,1,1,2000,Abilene Christian,77.26,East,14,54
mens,2021-03-14,0,1.0,0.203441553293,0.053049727525,0.006406224559,0.001463134551,0.000294056197,5.5738403e-05,1,1,2335,Liberty,77.16,Midwest,13,78
mens,2021-03-14,0,1.0,0.139751083758,0.035436101052,0.003234083644,0.000742468986,0.000206357185,4.5742449e-05,1,1,195,Ohio,77.68,West,13,14
mens,2021-03-14,1,0.407841057872,0.086705442107,0.021714358138,0.004278267688,0.000566095839,0.000164591633,3.8125007e-05,0,1,2181,Drake,76.83,West,11a,18
mens,2021-03-14,0,1.0,0.122804664282,0.030108590212,0.004695385741,0.000491647783,0.00011754282,2.2506464e-05,1,1,331,Eastern Washington,76.31,West,14,22
mens,2021-03-14,0,1.0,0.055371571349,0.011774308667,0.002203539339,0.0001923579,3.9303803e-05,6.462796e-06,1,1,2253,Grand Canyon,74.95,West,15,30
mens,2021-03-14,0,1.0,0.098673049533,0.015354982142,0.001944325701,0.000227931498,3.2141427e-05,4.352914e-06,1,1,2413,Morehead State,73.92,Midwest,14,86
mens,2021-03-14,0,1.0,0.060150764404,0.012550029101,0.00199839179,0.00020725218,2.7137712e-05,3.463407e-06,1,1,198,Oral Roberts,73.58,South,15,126
mens,2021-03-14,0,1.0,0.024992121584,0.003340195983,0.000571690292,7.5792325e-05,9.066038e-06,1.049032e-06,1,1,2182,Drexel,72.73,Midwest,16,66
mens,2021-03-14,0,1.0,0.048940473134,0.005604941292,0.000786636691,9.7099015e-05,7.500893e-06,8.76061e-07,1,1,314,Iona,72.07,East,15,62
mens,2021-03-14,0,1.0,0.040224170205,0.005710914409,0.000741592913,6.6783143e-05,7.325897e-06,7.80081e-07,1,1,325,Cleveland State,72.02,Midwest,15,94
mens,2021-03-14,0,1.0,0.019002928979,0.001405610536,0.000190604767,2.2551767e-05,2.199169e-06,2.11572e-07,1,1,42,Hartford,71.21,South,16,98
mens,2021-03-14,1,0.587461516091,0.00693993971,0.00097945343,9.8488471e-05,9.669772e-06,1.234278e-06,1.28607e-07,0,1,2026,Appalachian State,70.29,West,16b,3
mens,2021-03-14,1,0.505411111796,0.016055290156,0.001537557411,0.00015140867,1.4897973e-05,8.69329e-07,7.7905e-08,0,1,116,Mount St. Mary's,68.91,East,16a,34
mens,2021-03-14,1,0.494588888204,0.01545244938,0.001457346915,0.000141436146,1.3721693e-05,7.89522e-07,6.9814e-08,0,1,2640,Texas Southern,68.78,East,16b,35
mens,2021-03-14,1,0.412538483909,0.003689988629,0.000407815436,3.231128e-05,2.515106e-06,2.57622e-07,2.1666e-08,0,1,2450,Norfolk State,68.28,West,16a,2
